id,theme,hook,prayer,scripture,scripture_ref,ending,visual_concept
384,Tomorrow,"Tonight, stop replaying it.","Lord, help us not to borrow tomorrow's worry tonight.",All the days ordained for me were written in your book before one of them came to be.,Psalm 139:16,"You're invited to rest, not required to have resolved everything.",night sky above a quiet coastal cliff
385,Financial pressure,You don't have to be strong for a few hours.,"God, we trust You with tomorrow's expenses. You've never failed to provide before.",And my God will meet all your needs according to the riches of his glory in Christ Jesus.,Philippians 4:19,"God remains present, even in seasons that don't make sense yet.",a peaceful moonlit meadow
386,Humility,"Tonight, just breathe.","God, quiet our need to be right tonight. Teach us humility instead.","Continue to live your lives in him, rooted and built up in him.",Colossians 2:6,"God's compassion doesn't run out, tonight or tomorrow.",quiet starlight over still farmland
387,Restoration,Let the day end gently.,"God, restore what today's struggles wore thin.",The God of all grace... will himself restore you.,1 Peter 5:10,"Whatever you're carrying, may it feel lighter tonight.",a calm night over still wetlands
388,Courage,Let the weight of today stay in today.,"Father, strengthen our courage for the hard thing we're facing.",Be on your guard; stand firm in the faith; be courageous; be strong.,1 Corinthians 16:13,God is present in the waiting as much as in the resolution.,moonlight on a quiet stone courtyard
389,Emotional exhaustion,Your heart deserves some rest tonight.,"Lord, for hearts that are simply tired tonight, give real rest, not just sleep.",The Spirit himself intercedes for us through wordless groans.,Romans 8:26,"You are cared for tonight, even in circumstances you can't control.",a quiet library window at night
390,Unanswered prayers,"Whatever's unresolved, it can wait until you've rested.","Lord, help us keep praying, even without the answer we're hoping for.","Truly I tell you, if you have faith as small as a mustard seed, nothing will be impossible for you.",Matthew 17:20,God's peace doesn't depend on your circumstances resolving first.,moonlight settling on a still countryside
391,Confidence,"Tonight, trust is enough.","Lord, replace our self-doubt with quiet confidence tonight.","Blessed is the one who trusts in the Lord, whose confidence is in him.",Jeremiah 17:7,"May you rest in being known, not in being certain.",a peaceful riverside at dusk
392,Perseverance,Let tonight be lighter than today.,"God, help us not give up on what we started, even when it's slow.","Well done, good and faithful servant!",Matthew 25:21,May your heart know a measure of peace tonight.,a calm night sky over wheat fields
393,Tomorrow,Whatever's still unresolved can wait until morning.,"Father, whatever tomorrow brings, remind us You'll already be there.","In their hearts humans plan their course, but the Lord establishes their steps.",Proverbs 16:9,"May your heart rest in what is true, not just what is felt.",a peaceful moonlit courtyard
394,Encouragement,"Tonight, let peace have the last word.","Father, encourage the parts of us that feel like giving up.",Let us consider how we may spur one another on toward love and good deeds.,Hebrews 10:24,May you feel steadied enough to rest tonight.,night sky reflected in a rice paddy
395,Perseverance,"Before you sleep, a quiet word for your heart.","Father, for the long road we're still walking, renew our endurance tonight.","For though the righteous fall seven times, they rise again.",Proverbs 24:16,May you feel less alone in the quiet tonight.,soft night sky over rolling farmland
396,Financial pressure,"Tonight, let your defenses down for a while.","Father, for the specific financial pressure we're under, be our provider tonight.","The earth is the Lord's, and everything in it.",Psalm 24:1,May your heart soften enough to rest tonight.,night mist settling over calm water
397,Forgiveness,Let tomorrow stay tomorrow's problem.,"Lord, for the guilt we carry over our own mistakes, remind us of Your forgiveness.","If we confess our sins, he is faithful and just and will forgive us our sins.",1 John 1:9,God's mercy meets us new again tomorrow.,a peaceful mountain silhouette at night
398,Weariness in faith,Tonight isn't for solving. It's for resting.,"Lord, we don't have big faith tonight. Help the small amount we have be enough.",Pray continually.,1 Thessalonians 5:17,"Whatever the outcome, God remains present with you.",moonlight through gently swaying curtains
399,Faith,"Tonight, exhale.","God, strengthen our faith for what we can't yet see.",Now faith is confidence in what we hope for and assurance about what we do not see.,Hebrews 11:1,"God sees what you're going through, even in the quiet.",stars scattered across a clear night sky
400,Loneliness,Don't carry this into tomorrow.,"Lord, for anyone who feels alone tonight, remind them You are near.","And surely I am with you always, to the very end of the age.",Matthew 28:20,May God's presence give you peace tonight. 🤍,night sky through an open window
