id,reference,text,theme,mood,image_keywords
221,Romans 8:35,"Who shall separate us from the love of Christ? Shall trouble or hardship or persecution or famine or nakedness or danger or sword?",love,uplifting,"nothing separates love sunrise"
222,Psalm 91:4,"He will cover you with his feathers, and under his wings you will find refuge.",refuge,calm,"wings refuge feathers sunrise"
223,Hebrews 11:1,"Faith is the substance of things hoped for the evidence of things not seen.",faith,reflective,"unseen hope faith sunrise"
224,Matthew 6:19-20,"Do not store up for yourselves treasures on earth, where moths and vermin destroy. But store up for yourselves treasures in heaven.",priority,reflective,"treasure heaven sunrise eternal"
225,Isaiah 44:22,"I have swept away your offenses like a cloud, your sins like the morning mist.",forgiveness,uplifting,"mist swept morning forgiveness sunrise"
226,Psalm 37:39,"The salvation of the righteous comes from the Lord; he is their stronghold in time of trouble.",salvation,uplifting,"stronghold trouble salvation sunrise"
227,John 10:11,"I am the good shepherd. The good shepherd lays down his life for the sheep.",love,reflective,"good shepherd sunrise sacrifice"
228,Romans 12:16,"Live in harmony with one another. Do not be proud, but be willing to associate with people of low position.",humility,reflective,"harmony together sunrise humble"
229,Psalm 143:8,"Let the morning bring me word of your unfailing love, for I have put my trust in you.",love,calm,"morning love sunrise unfailing"
230,Proverbs 3:9-10,"Honor the Lord with your wealth, with the firstfruits of all your crops; then your barns will be filled to overflowing.",generosity,uplifting,"harvest firstfruits sunrise overflow"
231,Matthew 9:29,"According to your faith let it be done to you.",faith,uplifting,"faith done sunrise according"
232,Isaiah 46:4,"Even to your old age and gray hairs I am he, I am he who will sustain you.",faithfulness,calm,"aged sustained sunrise faithful"
233,Psalm 23:2-3,"He makes me lie down in green pastures, he leads me beside quiet waters, he refreshes my soul.",rest,calm,"green pastures quiet water sunrise"
234,John 15:4,"Remain in me, as I also remain in you.",connection,calm,"abiding vine sunrise remain"
235,Romans 5:3-4,"We also glory in our sufferings, because we know that suffering produces perseverance; perseverance, character; and character, hope.",perseverance,reflective,"suffering character hope sunrise"
236,Psalm 68:19,"Praise be to the Lord, to God our Savior, who daily bears our burdens.",provision,uplifting,"burden carried daily sunrise praise"
237,Hebrews 4:12,"For the word of God is alive and active. Sharper than any double-edged sword.",scripture,uplifting,"word alive active sunrise sharp"
238,Matthew 5:44,"But I tell you, love your enemies and pray for those who persecute you.",love,reflective,"love enemies sunrise pray"
239,Isaiah 48:17,"I am the Lord your God, who teaches you what is best for you, who directs you in the way you should go.",guidance,calm,"directed best way sunrise"
240,Psalm 119:114,"You are my refuge and my shield; I have put my hope in your word.",refuge,calm,"refuge shield hope word sunrise"
241,John 8:36,"So if the Son sets you free, you will be free indeed.",freedom,uplifting,"free indeed sunrise freedom"
242,Romans 8:1-2,"There is now no condemnation for those who are in Christ Jesus, because through Christ Jesus the law of the Spirit who gives life has set you free.",freedom,uplifting,"no condemnation free sunrise"
243,Psalm 4:8,"In peace I will lie down and sleep, for you alone, Lord, make me dwell in safety.",peace,calm,"peaceful sleep safety night stars"
244,Proverbs 16:9,"In their hearts humans plan their course, but the Lord establishes their steps.",trust,reflective,"planned path established sunrise"
245,Matthew 28:20,"And surely I am with you always, to the very end of the age.",presence,uplifting,"always with you sunrise end"
246,Isaiah 54:17,"No weapon forged against you will prevail.",protection,uplifting,"weapon fail protection sunrise"
247,Psalm 9:10,"Those who know your name trust in you, for you, Lord, have never forsaken those who seek you.",trust,uplifting,"seek never forsaken sunrise"
248,John 14:21,"Whoever has my commands and keeps them is the one who loves me.",love,reflective,"commands love obedience sunrise"
249,Romans 12:2,"Do not conform to the pattern of this world, but be transformed by the renewing of your mind.",transformation,reflective,"transformed renewed mind sunrise"
250,Psalm 19:1,"The heavens declare the glory of God; the skies proclaim the work of his hands.",creation,uplifting,"heavens glory sky sunrise"
251,Hebrews 12:2,"Fixing our eyes on Jesus, the pioneer and perfecter of faith.",faith,uplifting,"fixing eyes Jesus sunrise pioneer"
252,Matthew 6:10,"Your kingdom come, your will be done, on earth as it is in heaven.",prayer,reflective,"kingdom come heaven earth sunrise"
253,Isaiah 55:11,"So is my word that goes out from my mouth: It will not return to me empty.",faithfulness,uplifting,"word fulfilled sunrise promise"
254,Psalm 121:7-8,"The Lord will keep you from all harm — he will watch over your life.",protection,calm,"watched over protected sunrise"
255,John 11:35,"Jesus wept.",compassion,reflective,"compassion tears sunrise gentle"
256,Romans 8:39,"Neither height nor depth, nor anything else in all creation, will be able to separate us from the love of God.",love,uplifting,"nothing separates love creation sunrise"
257,Psalm 73:28,"But as for me, it is good to be near God. I have made the Sovereign Lord my refuge.",presence,calm,"near God refuge sunrise good"
258,Proverbs 24:16,"For though the righteous fall seven times, they rise again.",perseverance,uplifting,"rise again fall sunrise persevere"
259,Matthew 5:48,"Be perfect, therefore, as your heavenly Father is perfect.",holiness,reflective,"perfect heavenly Father sunrise"
260,Isaiah 58:8,"Then your light will break forth like the dawn, and your healing will quickly appear.",healing,uplifting,"light dawn healing sunrise burst"
261,Psalm 86:11,"Teach me your way, Lord, that I may rely on your faithfulness.",faithfulness,calm,"teach way rely faithfulness sunrise"
262,John 15:9,"As the Father has loved me, so have I loved you. Now remain in my love.",love,calm,"loved remain love sunrise"
263,Romans 12:9,"Love must be sincere. Hate what is evil; cling to what is good.",love,reflective,"sincere love good sunrise"
264,Psalm 37:5,"Commit your way to the Lord; trust in him and he will do this.",trust,calm,"commit way trust sunrise"
265,Hebrews 13:6,"So we say with confidence, The Lord is my helper; I will not be afraid.",courage,uplifting,"helper confidence sunrise fearless"
266,Matthew 11:25,"I praise you, Father, Lord of heaven and earth, because you have hidden these things from the wise and revealed them to little children.",humility,reflective,"childlike faith sunrise revealed"
267,Isaiah 43:7,"Everyone who is called by my name, whom I created for my glory, whom I formed and made.",purpose,uplifting,"called by name created glory sunrise"
268,Psalm 91:15,"He will call on me, and I will answer him; I will be with him in trouble, I will deliver him and honor him.",answered prayer,uplifting,"call answer deliver honor sunrise"
269,John 14:18,"I will not leave you as orphans; I will come to you.",presence,calm,"not alone orphan come sunrise"
270,Romans 15:5,"May the God who gives endurance and encouragement give you the same attitude of mind toward each other that Christ Jesus had.",unity,reflective,"endurance encouragement unity sunrise"
271,Psalm 139:1-2,"You have searched me, Lord, and you know me. You know when I sit and when I rise.",presence,calm,"known searched Lord sunrise"
272,Proverbs 16:24,"Gracious words are a honeycomb, sweet to the soul and healing to the bones.",healing,calm,"gentle words honeycomb healing sunrise"
273,Matthew 7:11,"If you, then, though you are evil, know how to give good gifts to your children, how much more will your Father in heaven give good gifts to those who ask him!",provision,uplifting,"good gifts Father sunrise children"
274,Isaiah 41:10,"I will uphold you with my righteous right hand.",strength,uplifting,"upheld right hand sunrise strength"
275,Psalm 34:17,"The righteous cry out, and the Lord hears them; he delivers them from all their troubles.",deliverance,uplifting,"cry heard delivered troubles sunrise"
276,John 16:22,"So with you: Now is your time of grief, but I will see you again and you will rejoice.",joy,uplifting,"grief to joy sunrise reunion"
277,Romans 14:8,"If we live, we live for the Lord; and if we die, we die for the Lord. So, whether we live or die, we belong to the Lord.",purpose,reflective,"belong Lord live die sunrise"
278,Psalm 119:76,"May your unfailing love be my comfort.",comfort,calm,"unfailing love comfort sunrise"
279,Hebrews 12:28,"Therefore, since we are receiving a kingdom that cannot be shaken, let us be thankful.",gratitude,uplifting,"unshaken kingdom gratitude sunrise"
280,Matthew 5:12,"Rejoice and be glad, because great is your reward in heaven.",joy,uplifting,"rejoice reward heaven sunrise"
281,Isaiah 40:4,"Every valley shall be raised up, every mountain and hill made low; the rough ground shall become level.",restoration,uplifting,"valley raised mountain lowered sunrise"
282,Psalm 27:13,"I remain confident of this: I will see the goodness of the Lord in the land of the living.",confidence,uplifting,"confident goodness Lord sunrise"
283,John 15:15,"I no longer call you servants, because a servant does not know his master's business. Instead, I have called you friends.",friendship,uplifting,"friends called sunrise relationship"
284,Romans 8:28,"All things work together for good for those who love God.",goodness,uplifting,"all things good together sunrise"
285,Psalm 62:8,"Trust in him at all times, you people; pour out your hearts to him, for God is our refuge.",trust,calm,"pour heart trust refuge sunrise"
286,Proverbs 19:21,"Many are the plans in a person's heart, but it is the Lord's purpose that prevails.",trust,reflective,"plans purposes Lord prevail sunrise"
287,Matthew 6:34,"So do not worry about tomorrow for tomorrow will worry about itself.",anxiety,calm,"today tomorrow sunrise present"
288,Isaiah 55:12,"You will go out in joy and be led forth in peace; the mountains and hills will burst into song.",joy,uplifting,"joy peace mountains singing sunrise"
289,Psalm 103:17,"But from everlasting to everlasting the Lord's love is with those who fear him.",love,calm,"everlasting love sunrise eternal"
290,John 15:2,"He cuts off every branch in me that bears no fruit, while every branch that does bear fruit he prunes so that it will be even more fruitful.",growth,reflective,"pruning growth fruit sunrise"
291,Romans 8:18,"I consider that our present sufferings are not worth comparing with the glory that will be revealed in us.",hope,uplifting,"suffering glory sunrise comparison"
292,Psalm 30:11-12,"You turned my wailing into dancing; you removed my sackcloth and clothed me with joy.",joy,uplifting,"wailing dancing joy sunrise"
293,Hebrews 11:3,"By faith we understand that the universe was formed at God's command.",faith,reflective,"universe formed command sunrise"
294,Matthew 22:37-38,"Love the Lord your God with all your heart and with all your soul and with all your mind.",love,uplifting,"love God heart soul mind sunrise"
295,Isaiah 43:25,"I, even I, am he who blots out your transgressions, for my own sake, and remembers your sins no more.",forgiveness,uplifting,"blotted out forgotten forgiveness sunrise"
296,Psalm 139:16,"Your eyes saw my unformed body; all the days ordained for me were written in your book.",purpose,reflective,"ordained days written book sunrise"
297,John 14:2,"My Father's house has many rooms; if that were not so, would I have told you that I am going there to prepare a place for you?",hope,uplifting,"many rooms prepared place sunrise"
298,Romans 5:2,"Through whom we have gained access by faith into this grace in which we now stand. And we boast in the hope of the glory of God.",grace,uplifting,"grace access stand hope sunrise"
299,Psalm 92:14,"They will still bear fruit in old age, they will stay fresh and green.",faithfulness,uplifting,"bearing fruit old age sunrise"
300,Proverbs 3:13,"Blessed are those who find wisdom, those who gain understanding.",wisdom,uplifting,"wisdom found understanding sunrise"
301,Matthew 6:14,"For if you forgive other people when they sin against you, your heavenly Father will also forgive you.",forgiveness,reflective,"forgive others Father forgive sunrise"
302,Isaiah 49:13,"Shout for joy, you heavens; rejoice, you earth; burst into song, you mountains! For the Lord comforts his people and will have compassion on his afflicted ones.",comfort,uplifting,"mountains singing joy comfort sunrise"
303,Psalm 34:14,"Turn from evil and do good; seek peace and pursue it.",peace,reflective,"pursuing peace good sunrise"
304,John 16:33,"In this world you will have trouble. But take heart! I have overcome the world.",victory,uplifting,"overcome world trouble heart sunrise"
305,Romans 12:12,"Be joyful in hope, patient in affliction, faithful in prayer.",faithfulness,reflective,"joyful patient faithful sunrise"
306,Psalm 46:2,"Therefore we will not fear, though the earth give way and the mountains fall into the heart of the sea.",courage,uplifting,"fearless earth shaking sunrise"
307,Hebrews 11:10,"For he was looking forward to the city with foundations, whose architect and builder is God.",hope,uplifting,"eternal city foundations God sunrise"
308,Matthew 7:13-14,"Enter through the narrow gate. For wide is the gate and broad is the road that leads to destruction, but small is the gate and narrow the road that leads to life.",wisdom,reflective,"narrow gate path life sunrise"
309,Isaiah 61:1,"The Spirit of the Sovereign Lord is on me, because the Lord has anointed me to proclaim good news to the poor.",purpose,uplifting,"anointed good news sunrise proclaim"
310,Psalm 107:1,"Give thanks to the Lord, for he is good; his love endures forever.",gratitude,uplifting,"thanks good love endures sunrise"
311,John 8:58,"Very truly I tell you, before Abraham was born, I am!",eternal,uplifting,"eternal I am sunrise"
312,Romans 8:29,"For those God foreknew he also predestined to be conformed to the image of his Son.",purpose,reflective,"conformed image Son sunrise"
313,Psalm 119:89,"Your word, Lord, is eternal; it stands firm in the heavens.",eternal,uplifting,"eternal word firm heavens sunrise"
314,Proverbs 22:6,"Start children off on the way they should go, and even when they are old they will not turn from it.",family,reflective,"child path guided sunrise"
315,Matthew 18:3,"Truly I tell you, unless you change and become like little children, you will never enter the kingdom of heaven.",humility,reflective,"child faith kingdom sunrise"
316,Isaiah 40:8,"The grass withers and the flowers fall, but the word of our God endures forever.",eternal,calm,"grass withers word endures sunrise"
317,Psalm 51:17,"My sacrifice, O God, is a broken spirit; a broken and contrite heart you, God, will not despise.",humility,reflective,"broken heart contrite sunrise"
318,John 3:8,"The wind blows wherever it pleases. You hear its sound, but you cannot tell where it comes from or where it is going. So it is with everyone born of the Spirit.",spirit,reflective,"wind spirit free sunrise"
319,Romans 12:8,"If it is to encourage, then give encouragement; if it is giving, then give generously.",generosity,uplifting,"encourage give generously sunrise"
320,Psalm 145:13,"Your kingdom is an everlasting kingdom, and your dominion endures through all generations.",eternal,uplifting,"everlasting kingdom generations sunrise"
321,Hebrews 4:9-10,"There remains, then, a Sabbath-rest for the people of God; for anyone who enters God's rest also rests from their works.",rest,calm,"Sabbath rest peaceful sunrise"
322,Matthew 5:13,"You are the salt of the earth.",purpose,uplifting,"salt earth sunrise purpose"
323,Isaiah 43:2,"When you pass through the rivers, they will not sweep over you. When you walk through the fire, you will not be burned.",protection,uplifting,"fire water protected sunrise"
324,Psalm 84:4,"Blessed are those who dwell in your house; they are ever praising you.",praise,uplifting,"dwelling house praise sunrise"
325,John 15:17,"This is my command: Love each other.",love,uplifting,"love each other command sunrise"
326,Romans 8:32,"He who did not spare his own Son, but gave him up for us all — how will he not also, along with him, graciously give us all things?",provision,uplifting,"gave Son all things sunrise"
327,Psalm 31:19,"How abundant are the good things that you have stored up for those who fear you.",provision,uplifting,"abundant stored good sunrise"
328,Proverbs 27:17,"As iron sharpens iron, so one person sharpens another.",community,reflective,"iron sharpens community sunrise"
329,Matthew 10:29-31,"Are not two sparrows sold for a penny? Yet not one of them will fall to the ground outside your Father's care. So don't be afraid; you are worth more than many sparrows.",value,uplifting,"sparrow valuable Father sunrise"
330,Isaiah 52:7,"How beautiful on the mountains are the feet of those who bring good news.",purpose,uplifting,"beautiful feet good news mountains sunrise"
331,Psalm 119:130,"The unfolding of your words gives light; it gives understanding to the simple.",light,uplifting,"unfolding words light understanding sunrise"
332,John 6:51,"I am the living bread that came down from heaven.",provision,calm,"bread life heaven sunrise"
333,Romans 15:33,"The God of peace be with you all.",peace,calm,"peace with you sunrise gentle"
334,Psalm 36:7,"How priceless is your unfailing love, O God! People take refuge in the shadow of your wings.",love,calm,"priceless love refuge wings sunrise"
335,Hebrews 13:20-21,"May the God of peace equip you with everything good for doing his will.",provision,uplifting,"equipped everything good sunrise"
336,Matthew 6:8,"Your Father knows what you need before you ask him.",provision,calm,"Father knows need sunrise"
337,Isaiah 64:8,"Yet you, Lord, are our Father. We are the clay, you are the potter; we are all the work of your hand.",purpose,reflective,"clay potter shaped sunrise"
338,Psalm 37:28,"For the Lord loves the just and will not forsake his faithful ones.",faithfulness,calm,"loves just faithful sunrise"
339,John 14:23,"Anyone who loves me will obey my teaching. My Father will love them, and we will come to them and make our home with them.",love,calm,"love obey home together sunrise"
340,Romans 8:14,"For those who are led by the Spirit of God are the children of God.",identity,uplifting,"led Spirit children God sunrise"
341,Psalm 91:14-15,"Because he loves me, says the Lord, I will rescue him; I will protect him, for he acknowledges my name.",love,uplifting,"rescue protect love name sunrise"
342,Proverbs 4:7,"The beginning of wisdom is this: Get wisdom, and whatever you get, get insight.",wisdom,reflective,"beginning wisdom insight sunrise"
343,Matthew 5:11-12,"Blessed are you when people insult you, persecute you and falsely say all kinds of evil against you because of me. Rejoice and be glad, because great is your reward in heaven.",perseverance,uplifting,"persecuted rejoice reward sunrise"
344,Isaiah 40:27-28,"Why do you complain, Jacob? Why do you say, Israel, My way is hidden from the Lord; my cause is disregarded by my God? Do you not know? Have you not heard?",trust,reflective,"trust hidden way Lord sunrise"
345,Psalm 145:14,"The Lord upholds all who fall and lifts up all who are bowed down.",grace,uplifting,"upholds fallen lifted sunrise"
346,John 8:12,"Whoever follows me will never walk in darkness, but will have the light of life.",light,uplifting,"follow light darkness sunrise"
347,Romans 8:24-25,"For in this hope we were saved. But hope that is seen is no hope at all. Who hopes for what they already have? But if we hope for what we do not yet have, we wait for it patiently.",hope,reflective,"unseen hope patience sunrise"
348,Psalm 30:2,"Lord my God, I called to you for help, and you healed me.",healing,uplifting,"called healed help sunrise"
349,Hebrews 11:6,"Without faith it is impossible to please God.",faith,reflective,"faith pleasing God sunrise impossible"
350,Matthew 6:24,"No one can serve two masters.",priority,reflective,"one master serve sunrise"
351,Isaiah 43:19,"I am making a way in the wilderness and streams in the wasteland.",provision,uplifting,"way wilderness streams wasteland sunrise"
352,Psalm 32:1,"Blessed is the one whose transgressions are forgiven, whose sins are covered.",forgiveness,uplifting,"forgiven covered blessed sunrise"
353,John 15:3,"You are already clean because of the word I have spoken to you.",purity,calm,"clean pure word spoken sunrise"
354,Romans 12:3,"Do not think of yourself more highly than you ought, but rather think of yourself with sober judgment.",humility,reflective,"humble sober judgment sunrise"
355,Psalm 28:6-7,"Praise be to the Lord, for he has heard my cry for mercy. The Lord is my strength and my shield.",strength,uplifting,"heard mercy strength shield sunrise"
356,Proverbs 3:3-4,"Let love and faithfulness never leave you; bind them around your neck, write them on the tablet of your heart.",love,reflective,"love faithfulness heart bound sunrise"
357,Matthew 5:17,"Do not think that I have come to abolish the Law or the Prophets; I have not come to abolish them but to fulfill them.",truth,reflective,"fulfilled law prophets sunrise"
358,Isaiah 40:26,"Lift up your eyes and look to the heavens: Who created all these?",creation,uplifting,"lift eyes heavens creation sunrise"
359,Psalm 119:18,"Open my eyes that I may see wonderful things in your law.",revelation,uplifting,"open eyes wonderful things sunrise"
360,John 14:16,"And I will ask the Father, and he will give you another advocate to help you and be with you forever.",presence,calm,"advocate helper forever sunrise"
361,Romans 8:27,"And he who searches our hearts knows the mind of the Spirit, because the Spirit intercedes for God's people in accordance with the will of God.",prayer,reflective,"Spirit intercedes hearts sunrise"
362,Psalm 34:1,"I will extol the Lord at all times; his praise will always be on my lips.",praise,uplifting,"praise always lips sunrise"
363,Hebrews 13:15,"Through Jesus, therefore, let us continually offer to God a sacrifice of praise.",praise,uplifting,"sacrifice praise continually sunrise"
364,Matthew 28:6,"He is not here; he has risen, just as he said.",resurrection,uplifting,"risen not here sunrise glory"
365,Revelation 21:4,"He will wipe every tear from their eyes. There will be no more death or mourning or crying or pain.",hope,uplifting,"no more tears sunrise eternal joy"
